Country Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,0.19,0.19,0.19,0.19,0.19,0.3,5.46,5.66,6.86,6.89,6.93,6.73,6.99,6.7,8.02,7.48
Africa Eastern and Southern,63.27929192,62.58716442,62.30147126,61.50253324,61.97701884,61.3215362,62.74775653,62.57314538,61.081094,60.37830549,60.712292,61.10639747,,,,
Afghanistan,44.24,33.88,31.89,28.78,21.17,16.53,15.15,12.61,15.36,16.86,18.93,17.53,19.92,19.21,17.96,18.51
Africa Western and Central,81.15159505,81.06752818,81.88903055,82.15537036,81.52737173,82.5663291,80.92634751,79.50885017,79.01798119,77.44593693,76.19041194,76.7528567,,,,
Angola,61.92,68.38,62.13,58.49,54.88,52.41,52.51,51.06,49.47,47.95,48.23,47.84,49.03,56.25,57.36,54.69
Albania,35.84,36.77,31.62,32,35.79,37.09,36.99,35.84,39.91,41.14,38.56,38.47,39.43,37.07,38.11,40.2
Andorra,16.57,16.61,17.57,16.56,17.02,17.13,18.67,18.55,18.76,19.14,19.45,19.32,19.32,19.15,18.58,18.4
Arab World,6.73392872,6.381240944,6.180767816,5.591310965,5.183182082,5.069994307,4.824452294,4.689964042,4.264385993,4.331575486,4.217009844,4.126902394,,,,
United Arab Emirates,0.1,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.14,0.13,0.12,0.19,0.32,0.67
Argentina,9.29,9.64,9.18,7.72,7.65,8.59,8.79,8.83,8.61,8.91,9.79,9.4,9.38,10.37,10.52,10.74
Armenia,8.71,6.49,7.65,7.02,6.4,7.8,9.36,8.01,6.56,6.77,7.08,10.74,13.15,12.56,11.13,10.34
American Samoa,0,0,0,0,0,0,0,0,0.14,0.24,0.23,0.23,0.3,0.49,0.49,0.5
Antigua and Barbuda,0,0,0,0,0,0,0,0.08,0.15,0.15,0.14,0.48,0.6,0.6,0.9,0.91
Australia,6.68,6.71,6.85,6.95,6.79,7.15,8.16,8.32,8.29,9.21,9.32,9.31,9.42,9.69,9.67,10.13
Austria,23.17,24.41,26.64,28.99,29.68,31.31,31.15,31.64,34.38,34.59,35.67,34.82,34.64,33.98,34.11,33.77
Azerbaijan,3.07,3.36,2.86,3.78,3.08,3.27,4.45,3.55,2.84,2.52,2.12,2.33,1.94,1.91,1.93,1.62
Burundi,96.04,96.01,95.31,95.29,95.15,95.18,92.57,91.65,91.45,91.08,91.28,91.15,89.52,88.12,85.58,84.77
Belgium,2.02,2.46,2.82,3.34,3.91,4.83,6.22,6.66,7.67,8.22,9.13,9.37,9.2,9.64,10.66,10.21
Benin,60.69,59.2,57.31,54.49,54.76,52.83,47.19,48.7,50.33,51.97,51.05,49.94,45.42,45.38,43.97,46.47
Burkina Faso,83.53,86.54,84.62,82.43,82.94,83.6,81.45,80.57,77.18,75.43,75.24,72.71,72.27,69.08,66.97,64.85
Bangladesh,52.05,50.66,48.69,47.19,45.2,43.1,40.28,38.41,37.31,37.08,35.32,31.93,30.49,28.36,26.88,24.75
Bulgaria,9.55,9.83,9.96,8.85,9.94,11.62,14.27,13.22,15.63,18.24,17.15,17.85,17.71,17.12,19.6,19.34
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
